attention,meditation,lowAlpha,lowBeta,lowGamma,highAlpha,highBeta,X,Y,Direction
7,61,1868,52293,1868,3138,3138,1280,720,Up
7,61,6430,2119,6430,1576,1576,1280,685,Up
21,54,832,863,832,1172,1172,1280,638,Up
21,54,832,863,832,1172,1172,1280,592,Up
26,44,542,2265,542,1209,1209,1280,546,Up
56,30,2222,4987,2222,7507,7507,1280,497,Up
83,61,12419,6418,12419,8110,8110,1280,451,Up
81,43,11450,18319,11450,21782,21782,1280,404,Up
81,43,11450,18319,11450,21782,21782,1280,358,Up
81,54,3134,1441,3134,2233,2233,1280,312,Up
63,61,1246,848,1246,668,668,1280,266,Up
60,63,3683,1673,3683,908,908,1280,220,Up
67,75,98,5596,98,4814,4814,1280,174,Up
67,75,98,5596,98,4814,4814,1280,128,Up
70,75,20602,16198,20602,14402,14402,1280,82,Up
70,75,17807,1076,17807,4137,4137,1280,36,Up
84,70,1362,1069,1362,1296,1296,1280,22,Down
88,69,10968,11700,10968,20741,20741,1280,71,Down
88,69,135,1158,135,157,157,1280,117,Down
88,69,135,1158,135,157,157,1280,160,Down
75,81,2972,1635,2972,688,688,1280,210,Down
75,81,32137,1389,32137,3673,3673,1280,256,Down
51,77,24331,7974,24331,3701,3701,1280,298,Down
54,84,13850,24460,13850,19584,19584,1280,344,Down
54,84,13850,24460,13850,19584,19584,1280,390,Down
54,84,5685,3294,5685,1959,1959,1280,436,Down
50,74,2562,964,2562,3174,3174,1280,482,Down
50,61,7513,6345,7513,3154,3154,1280,532,Down
50,61,3301,7006,3301,6431,6431,1280,575,Down
50,61,3301,7006,3301,6431,6431,1280,621,Down
51,54,3815,1493,3815,768,768,1280,670,Down
38,48,21091,13058,21091,6719,6719,1280,713,Up-Right
38,48,3465,4316,3465,5466,5466,1337,688,Up-Right
35,57,3603,579,3603,949,949,1420,642,Up-Right
34,69,40628,9114,40628,11029,11029,1502,596,Up-Right
34,69,40628,9114,40628,11029,11029,1585,550,Up-Right
37,70,7616,9394,7616,3885,3885,1667,504,Up-Right
37,57,12899,34258,12899,32657,32657,1750,458,Up-Right
35,57,14551,11183,14551,9518,9518,1832,412,Up-Right
38,60,12944,4387,12944,2841,2841,1914,366,Up-Right
38,60,12944,4387,12944,2841,2841,1997,319,Up-Right
48,69,3685,3112,3685,4374,4374,2079,273,Up-Right
50,74,2162,1041,2162,2424,2424,2162,227,Up-Right
54,70,6469,5705,6469,3323,3323,2251,178,Up-Right
48,50,15321,14072,15321,8368,8368,2333,132,Up-Right
29,30,15497,50273,15497,6715,6715,2416,85,Up-Right
29,30,15497,50273,15497,6715,6715,2498,39,Up-Right
29,30,18279,5595,18279,3376,3376,2536,18,Down-Left
24,34,153792,24928,153792,44909,44909,2454,64,Down-Left
26,13,2751,3435,2751,5040,5040,2371,110,Down-Left
50,29,6562,8808,6562,14780,14780,2289,156,Down-Left
50,29,6562,8808,6562,14780,14780,2206,202,Down-Left
67,50,8846,7306,8846,6330,6330,2124,249,Down-Left
67,64,30715,2388,30715,4059,4059,2041,295,Down-Left
64,88,2056,499,2056,1274,1274,1959,341,Down-Left
56,91,17140,22017,17140,5916,5916,1876,387,Down-Left
56,91,17140,22017,17140,5916,5916,1794,433,Down-Left
53,90,17449,3500,17449,4909,4909,1711,479,Down-Left
53,90,1489,3026,1489,817,817,1629,525,Down-Left
53,90,726,592,726,873,873,1546,571,Down-Left
