"attention","meditation","lowAlpha","lowBeta","lowGamma","highAlpha","highBeta","X","Y","Direction"
"60","66","99663","100627","99663","122509","122509","227","119","Down-Right"
"60","66","99663","100627","99663","122509","122509","530","381","Down-Right"
"60","66","87134","161423","87134","302440","302440","1139","1322","Down-Right"
"60","66","107248","159728","107248","185514","185514","1496","1360","Down-Left"
"60","66","66453","157972","66453","132898","132898","1494","1408","Up-Left"
"60","66","150414","172978","150414","118323","118323","1373","808","Up-Left"
"60","66","150414","172978","150414","118323","118323","1214","791","Down-Left"
"60","66","52634","86117","52634","93964","93964","1190","810","No-Change"
"60","66","12646","132514","12646","81858","81858","1190","810","No-Change"
"60","66","40078","16154","40078","468027","468027","1190","810","No-Change"
"60","66","19005","17829","19005","74891","74891","1190","810","No-Change"
"60","66","19005","17829","19005","74891","74891","1190","810","No-Change"
"60","66","17421","10631","17421","100282","100282","1190","810","No-Change"
"60","66","7693","410","7693","110007","110007","1190","810","No-Change"
"60","66","10868","2840","10868","116790","116790","1190","810","No-Change"
"60","66","6250","6498","6250","94140","94140","1190","810","No-Change"
"60","66","6250","6498","6250","94140","94140","1190","810","No-Change"
"60","66","8983","2300","8983","109045","109045","1190","810","No-Change"
"60","66","39837","7114","39837","433491","433491","1190","810","No-Change"
"60","66","3584","2525","3584","99694","99694","1190","810","No-Change"
"60","66","166117","22309","166117","324875","324875","1190","810","No-Change"
"60","66","166117","22309","166117","324875","324875","1190","810","No-Change"
"60","66","194228","14691","194228","340875","340875","1190","810","Up-Right"
"60","66","1964","1824","1964","97230","97230","1280","688","Up"
"60","66","9104","2035","9104","87997","87997","1280","631","Up"
"60","66","17298","8104","17298","358452","358452","1280","575","Up"
"60","66","17298","8104","17298","358452","358452","1280","521","Up"
"60","66","16551","5409","16551","323541","323541","1280","465","Up"
"60","66","25506","1650","25506","253394","253394","1280","408","Up"
"60","66","3040","909","3040","67549","67549","1280","351","Up"
"60","66","51905","5042","51905","230930","230930","1280","295","Up"
"60","66","51905","5042","51905","230930","230930","1280","238","Up"
"60","66","2149","1328","2149","85820","85820","1280","185","Up"
"60","66","4354","1504","4354","67499","67499","1280","128","Up"
"96","56","44322","10258","44322","309955","309955","1280","71","Up"
"96","56","17570","3094","17570","275428","275428","1280","15","Down"
"96","56","17570","3094","17570","275428","275428","1280","54","Down"
